2026-07-05 15:05:19 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:05:20 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:05:56 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 15:06:09 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:06:09 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:06:09 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:06:59 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:06:59 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:06:59 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:07:49 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:07:49 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:07:49 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:07:59 | INFO | trading_bot | Alpaca stream market-crypto closed for Paper: status=None msg=None
2026-07-05 15:08:39 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:08:39 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:08:40 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:09:29 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:09:29 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:09:29 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:10:19 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:10:19 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:10:19 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:11:09 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:11:10 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:11:11 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:12:00 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:12:00 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:12:00 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:12:50 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:12:50 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:12:50 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:13:03 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 15:13:40 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:13:40 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:13:40 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:14:30 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:14:30 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:14:30 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:15:20 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:15:20 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:15:20 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:16:10 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:16:10 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:16:10 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:17:00 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:17:00 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:17:00 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:17:50 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:17:50 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:17:50 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:18:08 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 15:18:40 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:18:40 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:18:40 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:19:30 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:19:30 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:19:31 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:20:20 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:20:20 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:20:20 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
